Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
Nhân viên giao nhận kiểm đếm tại kho Cocacola Long An(Mới),CÔNG TY CỔ PHẦN VẬN TẢI BIỂN CONTAINER THÁI BÌNH DƯƠNG,Long An,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-giao-nhan-kiem-dem-tai-kho-cocacola-long-an.35C599E2.html
"Nhân Viên Kỹ Thuật Thi Công Hệ Thống Mạng, Camera(Mới)",CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT TẦM NHÌN,Hồ Chí Minh,Lương: 8 Tr - 13 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-thi-cong-he-thong-mang-camera.35C599E4.html
Nhân viên vật tư (Làm việc tại KCN Long Hậu)(Mới),Công ty TNHH Yura Corporation Vina,Long An,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-vat-tu-lam-viec-tai-kcn-long-hau.35C28B5E.html
KỸ SƯ QA/QC (Công trình)(Mới),CÔNG TY CỔ PHẦN MEGABUILD,Lâm Đồng,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-qa-qc-cong-trinh.35C599A1.html
Chuyên viên kinh doanh CNTT - Lương cứng từ 8 - 12 triệu(Mới),CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT TẦM NHÌN,Hồ Chí Minh,Lương: 8 Tr - 20 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-cntt-luong-cung-tu-8-12-trieu.35C599D4.html
Nhân Viên QA Vi Sinh (Bắc Ninh)(Mới),"ORION FOOD VINA CO.,LTD",Bắc Ninh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-qa-vi-sinh-bac-ninh.35C599DF.html
Trưởng phòng Quản lý Vận Hành Bất Động Sản(Mới),Công Ty Cổ Phần Tập Đoàn Sunshine,Hồ Chí Minh,Lương: 20 Tr - 35 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-quan-ly-van-hanh-bat-dong-san.35C599E0.html
Kỹ sư chất lượng(Mới),CÔNG TY TNHH COCREATION GRASS CORPORATION VIỆT NAM,Tây Ninh,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-chat-luong.35C599E1.html
HCM - Nhân viên admin thời vụ(Mới),Cty TNHH Yakult Việt Nam,Hồ Chí Minh,Lương: 10 Tr - 12 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/hcm-nhan-vien-admin-thoi-vu.35C599DD.html
Nhân viên quản lý nhà thầu công trình | Construction Contractor Management Staff(Mới),Công ty TNHH Giầy Chingluh Việt Nam,Long An,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-quan-ly-nha-thau-cong-trinh-construction-contractor-management-staff.35C599D7.html
Nhân viên kỹ thuật (Làm việc tại KCN Long Hậu)(Mới),Công ty TNHH Yura Corporation Vina,Long An,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-lam-viec-tai-kcn-long-hau.35C599CE.html
Trưởng Phòng Kinh Doanh(Mới),Công ty Cổ phần Lux Decor Việt Nam,Hà Nội,Lương: Trên 30 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-kinh-doanh.35C599D6.html
Kế Toán Chi Phí(Mới),CÔNG TY CỔ PHẦN TẬP ĐOÀN ONSEN FUJI,Phú Thọ,Lương: 7 Tr - 10 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ke-toan-chi-phi.35C599DB.html
Sales Executive(Mới),Công ty TNHH ChargePlus VietNam,Hà Nội,Lương: 12 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/sales-executive.35C599D9.html
Kỹ sư Công nghiệp (Industrial Engineer)(Mới),Công ty TNHH MTV Sen Vàng Việt Nam,Hồ Chí Minh,Lương: 15 Tr - 25 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-cong-nghiep-industrial-engineer.35C599D8.html
