Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
Sales Admin(Mới),Công ty TNHH Minh Hương P.N.D (thương hiệu thời trang mặc nhà cao cấp Sunfly),Hà Nội,Lương: 10 Tr - 15 Tr VND,01-10-2025,30-12-2025,https://careerviet.vn/vi/tim-viec-lam/sales-admin.35C59ACE.html
Thực tập sinh Tư vấn Bất Động sản(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 5,2 Tr - 8,1 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-tu-van-bat-dong-san.35C59AD2.html
Nhân Viên Kế Toán Tổng Hợp(Mới),CÔNG TY CỔ PHẦN VẬN TẢI BƯU CHÍNH VIỆT NAM,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ke-toan-tong-hop.35C59AA4.html
Fabric purchaser(Mới),"Công ty TNHH, Liên Doanh Vĩnh Hưng (TMI Việt Nam)",Hồ Chí Minh,Lương: 10 Tr - 15 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/fabric-purchaser.35C59AC6.html
Cộng tác viên kinh doanh(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 5,6 Tr - 8,8 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/cong-tac-vien-kinh-doanh.35C59ACF.html
Business Development Intern (Lương cứng 5.650.000 VNĐ)(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 5,7 Tr - 12,1 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/business-development-intern-luong-cung-5-650-000-vnd.35C59ACD.html
Thực tập sinh Ngân hàng(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 5,6 Tr - 8,1 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-ngan-hang.35C59ACB.html
Nhân Viên Kế Toán(Mới),CÔNG TY TNHH DỊCH VỤ TÀI CHÍNH - KẾ TOÁN Á CHÂU,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ke-toan.35C59AC9.html
Thực tập sinh Pháp lý(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 5,2 Tr - 8,1 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-phap-ly.35C59AC8.html
Thực tập sinh Chăm sóc Khách Hàng (Lương cứng 7.800.000 VNĐ)(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 7,9 Tr - 9,8 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-cham-soc-khach-hang-luong-cung-7-800-000-vnd.35C59AC7.html
Thực tập sinh Thương mại Điện tử (Lương cứng 8.200.000 VNĐ)(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 8,2 Tr - 10,6 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-thuong-mai-dien-tu-luong-cung-8-200-000-vnd.35C59AC5.html
Thực tập sinh Tài Chính (Lương cứng 7.200.000 VNĐ)(Mới),CareerViet's client,Hồ Chí Minh,"Lương: 7,2 Tr - 8,9 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-tai-chinh-luong-cung-7-200-000-vnd.35C59AC4.html
Buyer(Mới),Công ty TNHH Liên doanh FLV,Bình Dương,Lương: 30 Tr - 40 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/buyer.35C59A19.html
Nhân Viên Chăm Sóc Khách Hàng Ứng Dụng Giao Hàng(Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,"Lương: 7 Tr - 8,3 Tr VND",01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-ung-dung-giao-hang.35C59AC3.html
Thực tập sinh Kế hoạch Đầu tư (Lương cứng 6.800.000 VNĐ) (Mới),CareerViet's client,Hồ Chí Minh,"Lương: 6,8 Tr - 8,8 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-ke-hoach-dau-tu-luong-cung-6-800-000-vnd.35C59AC2.html
Thực tập sinh Kế hoạch Đầu tư (Lương cứng 6.800.000 VNĐ) (Mới),CareerViet's client,Hồ Chí Minh,"Lương: 6,8 Tr - 8,8 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-ke-hoach-dau-tu-luong-cung-6-800-000-vnd.35C59AC2.html
Business Development Intern (Lương cứng 5.650.000 VNĐ) (Mới),CareerViet's client,Hồ Chí Minh,"Lương: 5,7 Tr - 12,1 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/business-development-intern-luong-cung-5-650-000-vnd.35C59AC0.html
Nhân viên Bán hàng ( Lương cứng 7.250.000 VNĐ) (Mới),CareerViet's client,Hồ Chí Minh,"Lương: 7,3 Tr - 14,1 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ban-hang-luong-cung-7-250-000-vnd.35C59ABD.html
Sales Executive (Lương cứng 11.800.000 VNĐ) (Mới),CareerViet's client,Hồ Chí Minh,"Lương: 11,8 Tr - 19,3 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/sales-executive-luong-cung-11-800-000-vnd.35C59ABB.html
"[Bạc Liêu, Sóc Trăng] Nhân viên kinh doanh kênh Đại lý tại Địa phương (Mới)",Daikin Air Conditioning (Vietnam) Joint Stock Company,Bạc Liêu Sóc Trăng Cà Mau,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/bac-lieu-soc-trang-nhan-vien-kinh-doanh-kenh-dai-ly-tai-dia-phuong.35C59ABC.html
PROCUREMENT SPECIALIST/ PURCHASING SPECIALIST (Mới),Công ty TNHH Bách Khoa Á Châu,Hồ Chí Minh,Lương: 15 Tr - 17 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/procurement-specialist-purchasing-specialist.35C59AB7.html
Sale B2C Intern (Lương cứng 6.300.000 VNĐ) (Mới),CareerViet's client,Hồ Chí Minh,"Lương: 6,3 Tr - 9,9 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/sale-b2c-intern-luong-cung-6-300-000-vnd.35C59ABA.html
Thực tập sinh Quan hệ Khách hàng (Lương cứng 6.900.000 VNĐ) (Mới),CareerViet's client,Hồ Chí Minh,"Lương: 6,9 Tr - 9,6 Tr VND",01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-quan-he-khach-hang-luong-cung-6-900-000-vnd.35C59AB8.html
Warehouse supervisor (Mới),CÔNG TY TNHH CLEANDYE VIỆT NAM,Hồ Chí Minh,Lương: 10 Tr - 12 Tr VND,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/warehouse-supervisor.35C59AB6.html
Chuyên viên PC (tiếng Trung) (Mới),CÔNG TY TNHH ĐIỆN KHÍ QUỐC QUANG (VIỆT NAM),Quảng Nam,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-pc-tieng-trung.35C59AB4.html
CHUYÊN VIÊN QUAY DỰNG (Mới),"Công Ty Tổ Chức Hội Nghị, Sự Kiện Và Du Lịch Quốc Tế Hòa Bình",Hà Nội,Lương: 13 Tr - 18 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quay-dung.35C59AB3.html
TRƯỞNG PHÒNG VẬN HÀNH - OPERATION MANAGER (Mới),Công ty TNHH Giáo dục Khai Nguyên,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-van-hanh-operation-manager.35C59AB1.html
Plastic Injection Molding Methods & Process Technician (Mới),"Siamp Co., Ltd",Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/plastic-injection-molding-methods-process-technician.35C59A3E.html
Nhân viên Kỹ thuật Vận Hành (Mới),CÔNG TY CỔ PHẦN TAJ VIỆT NAM,Hà Nội,Lương: 15 Tr - 20 Tr VND,01-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-van-hanh.35C59AAB.html
Business Development Specialist (Hanoi/ Hung Yen) - Electrical Testing - Chinese Speaking - P.03 (Mới),TÜV Rheinland Vietnam,Hà Nội,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/business-development-specialist-hanoi-hung-yen-electrical-testing-chinese-speaking-p-03.35C59AB0.html
"Nhân viên Chăm Sóc Khách Hàng MB Bank tại 21 Cát Linh, Đống Đa .H2 (Mới)",CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Hà Nội,Lương: 8 Tr - 12 Tr VND,01-10-2025,26-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-mb-bank-tai-21-cat-linh-dong-da-h2.35C59AAD.html
SENIOR HUMAN RESOURCES EXECUTIVE (Japanese or English) (Mới),"Iconic Co.,Ltd",Đồng Nai,Lương: 17 Tr - 19 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/senior-human-resources-executive-japanese-or-english.35C59AAA.html
CHUYÊN VIÊN KẾ HOẠCH SÁNG TẠO (Mới),"Công Ty Tổ Chức Hội Nghị, Sự Kiện Và Du Lịch Quốc Tế Hòa Bình",Hà Nội,Lương: 13 Tr - 16 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ke-hoach-sang-tao.35C59AAE.html
Software Engineer (Mới),Công Ty TNHH Archetype Việt Nam,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/software-engineer.35C59AA7.html
Nhân Viên An Toàn SHE (Mới),Công Ty TNHH Yokohama Tyre Việt Nam,Bình Dương,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-an-toan-she.35C59AA5.html
CTV Livestream(Mới),Công ty TNHH Thiên Thủy Mộc,Hà Nội Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/ctv-livestream.35C59AA9.html
CHUYÊN VIÊN ĐIỀU HÀNH SỰ KIỆN (MẢNG SET UP)(Mới),"Công Ty Tổ Chức Hội Nghị, Sự Kiện Và Du Lịch Quốc Tế Hòa Bình",Hà Nội,Lương: 13 Tr - 15 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-dieu-hanh-su-kien-mang-set-up.35C59AA8.html
System Engineer(Mới),Công Ty TNHH Archetype Việt Nam,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/system-engineer.35C59AA6.html
PDC Specialist (Kế toán kho)(Mới),Huhtamaki (Vietnam) Ltd.,Bình Dương,Lương: Cạnh Tranh,01-10-2025,Hôm nay,https://careerviet.vn/vi/tim-viec-lam/pdc-specialist-ke-toan-kho.35C59AA3.html
Trợ lý Cửa hàng (X11 Vincom Times City)(Mới),KKV Vietnam,Hà Nội,Lương: 11 Tr - 15 Tr VND,01-10-2025,15-10-2025,https://careerviet.vn/vi/tim-viec-lam/tro-ly-cua-hang-x11-vincom-times-city.35C59AA0.html
"Giám sát Kỹ thuật tòa nhà  (Quận 2, Quận 9)(Mới)","CBRE (Vietnam) Co.,ltd",Hồ Chí Minh,Lương: 12 Tr - 14 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/giam-sat-ky-thuat-toa-nha-quan-2-quan-9.35C59A9E.html
Trưởng phòng KCS(Mới),Tập Đoàn Lộc Trời,Long An,Lương: Cạnh Tranh,01-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-kcs.35C59A9D.html
NHÂN VIÊN SALES THIẾT BỊ(Mới),"Công Ty Tổ Chức Hội Nghị, Sự Kiện Và Du Lịch Quốc Tế Hòa Bình",Hà Nội,Lương: 10 Tr - 20 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-sales-thiet-bi.35C59AA1.html
Trưởng Phòng Dịch Vụ Khách Hàng - Sông Cầu (Phú Yên) - TA047(Mới),Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Phú Yên,Lương: Cạnh Tranh,01-10-2025,05-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-dich-vu-khach-hang-song-cau-phu-yen-ta047.35C59AA2.html
Store Manager - X11 Vincom Times City(Mới),KKV Vietnam,Hà Nội,Lương: Cạnh Tranh,01-10-2025,29-10-2025,https://careerviet.vn/vi/tim-viec-lam/store-manager-x11-vincom-times-city.35C59A6F.html
Business Development Manager – Food Inspecting/Testing - A.03(Mới),TÜV Rheinland Vietnam,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/business-development-manager-food-inspecting-testing-a-03.35C59A9F.html
Kỹ Thuật Viên CNC(Mới),CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TRẦN GIA,Hà Nội,Lương: 10 Tr - 15 Tr VND,01-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/ky-thuat-vien-cnc.35C5990E.html
Kế Toán Trưởng (Công ty sản xuất và xuất khẩu)(Mới),CÔNG TY CỔ PHẦN HAGIMEX,Hà Nam Hà Nội Hòa Bình,Lương: 25 Tr - 30 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong-cong-ty-san-xuat-va-xuat-khau.35C59A9A.html
Nhân Viên R&D Thực phẩm(Mới),CÔNG TY CỔ PHẦN HAGIMEX,Hà Nam Hà Nội Hòa Bình,Lương: 10 Tr - 12 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-r-d-thuc-pham.35C59A9B.html
Nhân viên Nguyên liệu(Mới),CÔNG TY CỔ PHẦN HAGIMEX,Hà Nam Hà Nội Hòa Bình,Lương: 9 Tr - 12 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-nguyen-lieu.35C59A9C.html
HCM_Trình dược viên OTC (Chăm sóc sức khỏe)(Mới),Mega Lifesciences (Vietnam),Hồ Chí Minh,Lương: 7 Tr - 25 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/hcm_trinh-duoc-vien-otc-cham-soc-suc-khoe.35C59A96.html
NHÂN VIÊN SALES VÉ(Mới),"Công Ty Tổ Chức Hội Nghị, Sự Kiện Và Du Lịch Quốc Tế Hòa Bình",Hà Nội,Lương: 10 Tr - 20 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-sales-ve.35C59A99.html
Quản lý Vận hành chuỗi Nhà thuốc(Mới),Công ty cổ phần Anvy,Hà Nội,Lương: 25 Tr - 35 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/quan-ly-van-hanh-chuoi-nha-thuoc.35C59A95.html
"Hanoi_ Operations, Air Export(Mới)",Schenker Vietnam Co. Ltd,Hà Nội,Lương: Cạnh Tranh,01-10-2025,25-10-2025,https://careerviet.vn/vi/tim-viec-lam/hanoi_-operations-air-export.35C59A94.html
NHÂN VIÊN SALES TOUR(Mới),"Công Ty Tổ Chức Hội Nghị, Sự Kiện Và Du Lịch Quốc Tế Hòa Bình",Hà Nội,Lương: 10 Tr - 20 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-sales-tour.35C59A92.html
[Thu Duc] Thực tập sinh phòng thí nghiệm Vi sinh(Mới),EUROFINS VIETNAM,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,26-10-2025,https://careerviet.vn/vi/tim-viec-lam/thu-duc-thuc-tap-sinh-phong-thi-nghiem-vi-sinh.35C59A8F.html
Chuyên Viên Công Nợ và Tư vấn Tài Chính(Mới),CÔNG TY CỔ PHẦN TẬP ĐOÀN MIK GROUP VIỆT NAM,Hà Nội,Lương: Cạnh Tranh,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cong-no-va-tu-van-tai-chinh.35C598E1.html
"[Thủ Đức] Thực tập sinh Hành chính, HĐ 6 tháng có phụ cấp(Mới)",EUROFINS VIETNAM,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,26-10-2025,https://careerviet.vn/vi/tim-viec-lam/thu-duc-thuc-tap-sinh-hanh-chinh-hd-6-thang-co-phu-cap.35C59A8D.html
Trưởng Nhóm Dự Toán MEP(Mới),Công Ty Cổ Phần Kiến Trúc Tư Vấn Quản Lý Đông Dương,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-du-toan-mep.35C59A40.html
Chuyên Viên Dự Toán MEP(Mới),Công Ty Cổ Phần Kiến Trúc Tư Vấn Quản Lý Đông Dương,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-du-toan-mep.35C59A4A.html
Chuyên Viên Hệ Thống - ISO(Mới),CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG TRUNG NAM  (TRUNGNAM GROUP),Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-he-thong-iso.35C59A8B.html
123898 - Tiếng Nhật - Trợ Lý Kinh Doanh - Ngành May Mặc(Mới),"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,Lương: 20 Tr - 25 Tr VND,01-10-2025,4,https://careerviet.vn/vi/tim-viec-lam/123898-tieng-nhat-tro-ly-kinh-doanh-nganh-may-mac.35C59A88.html
Chuyên Viên Giám Sát MEP(Mới),CÔNG TY CỔ PHẦN TẬP ĐOÀN MIK GROUP VIỆT NAM,Hà Nội,Lương: Cạnh Tranh,01-10-2025,20-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-giam-sat-mep.35C59975.html
Chuyên gia Quản lý Đất đai & Giải phóng mặt bằng (Lĩnh vực Năng lượng) - Energy - 4Q008(Mới),Tập đoàn ROX (ROX Group),Hà Nội,Lương: Cạnh Tranh,01-10-2025,24-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-quan-ly-dat-dai-giai-phong-mat-bang-linh-vuc-nang-luong-energy-4q008.35C59A8C.html
Marketing Admin(Mới),Công Ty Hoàng An Nhiên,Hồ Chí Minh,Lương: 12 Tr - 14 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/marketing-admin.35C59A8A.html
Trưởng Nhóm Giám Sát Công Trình (Mới),Công Ty Cổ Phần Kiến Trúc Tư Vấn Quản Lý Đông Dương,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-giam-sat-cong-trinh.35C59A3B.html
Trưởng Nhóm Giám Sát Công Trình (Mới),Công Ty Cổ Phần Kiến Trúc Tư Vấn Quản Lý Đông Dương,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-giam-sat-cong-trinh.35C59A3B.html
Trưởng Nhóm Kiến Trúc (Mới),Công Ty Cổ Phần Kiến Trúc Tư Vấn Quản Lý Đông Dương,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-kien-truc.35C59A37.html
123867 - Korean required - Client Service Manager - Consulting (Mới),"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,4,https://careerviet.vn/vi/tim-viec-lam/123867-korean-required-client-service-manager-consulting.35C59A85.html
GIÁM SÁT CÔNG TRÌNH XÂY DỰNG (Mới),Công Ty Cổ Phần Kiến Trúc Tư Vấn Quản Lý Đông Dương,Đồng Nai Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/giam-sat-cong-trinh-xay-dung.35C59A86.html
NHÂN VIÊN KẾ TOÁN NỘI BỘ NGÀNH F&B (GẤP) (Mới),CÔNG TY TNHH TẬP ĐOÀN PHÁT TRIỂN ẨM THỰC VIỆT NAM (VNCD GROUP),Hồ Chí Minh,Lương: 12 Tr - 14 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ke-toan-noi-bo-nganh-f-b-gap.35C59A80.html
CHUYÊN VIÊN KỸ THUẬT QUY TRÌNH (Mới),CÔNG TY TNHH MTV CHẾ TÁC VÀ KINH DOANH TRANG SỨC PNJ,Hồ Chí Minh,Lương: 14 Tr - 16 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ky-thuat-quy-trinh.35C599CD.html
123865 - Korean Speaking - Client Service Associate - Consulting (Mới),"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,4,https://careerviet.vn/vi/tim-viec-lam/123865-korean-speaking-client-service-associate-consulting.35C59A7A.html
Consumer Insight & Innovation Executive (Mới),Công ty cổ phần Nafoods Group,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/consumer-insight-innovation-executive.35C59A81.html
[Đà Nẵng] Trưởng bộ phận Khách hàng ưu tiên (Mới),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Đà Nẵng,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/da-nang-truong-bo-phan-khach-hang-uu-tien.35C59A7F.html
Nhân Viên Hành Chính (Mới),Công Ty Cổ phần Tập Đoàn KIDO,Hồ Chí Minh,Lương: 8 Tr - 10 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-hanh-chinh.35C59A7E.html
Nhân viên Kế toán phải trả (Mới),Công ty Cổ phần CANIFA,Hà Nội,Lương: 8 Tr - 12 Tr VND,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ke-toan-phai-tra.35C59A7C.html
Chuyên viên đầu tư (Mới),CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐỊA ỐC VẠN XUÂN,Hồ Chí Minh,Lương: 20 Tr - 25 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-dau-tu.35C59A74.html
Nhân Viên Lái Xe Tải Giao Hàng / Truck Driver,Virbac Vietnam Company Limited,Đồng Nai,Lương: Cạnh tranh,01-10-2025,23-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-lai-xe-tai-giao-hang-truck-driver.35C58BE3.html
Digital Marketing Executive (Mới),Công ty TNHH Thai F&B,Hồ Chí Minh,Lương: Trên 15 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/digital-marketing-executive.35C59A7B.html
Nhân viên thiết kế đồ họa (Mới),HEXAGON - CÔNG TY CỔ PHẦN THIẾT KẾ LỤC GIÁC,Hà Nội,Lương: 10 Tr - 15 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-thiet-ke-do-hoa.35C59A76.html
Nhân Viên Công Nghệ Thông Tin (Mới),CÔNG TY CỔ PHẦN TẬP ĐOÀN ONSEN FUJI,Phú Thọ,Lương: 8 Tr - 12 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cong-nghe-thong-tin.35C59A77.html
123833 - Nhân viên Nhân sự (Tiếng Nhật) - IT (Mới),"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,Lương: 24 Tr - 26 Tr VND,01-10-2025,4,https://careerviet.vn/vi/tim-viec-lam/123833-nhan-vien-nhan-su-tieng-nhat-it.35C59A6E.html
Credit Reappraisal Officer (Corporate) Ha Noi (Mới),Indovina Bank Ltd.,Hà Nội,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/credit-reappraisal-officer-corporate-ha-noi.35C59A70.html
CHUYÊN VIÊN CƠ ĐIỆN (Mới),Tổng công ty Xây dựng số 1 – CTCP,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-co-dien.35C59A6D.html
Nhân viên Kinh doanh Khách đoàn thuộc Khối MICE (Mới),Công Ty CP Du lịch và Tiếp Thị GTVT Việt Nam- Vietravel,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,11-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-khach-doan-thuoc-khoi-mice.35C59A6B.html
CUSTOMER SERVICE (GARMENT / TEXTILE / FOOTWEAR)(Mới),Chi nhánh CÔNG TY TNHH INTERTEK VIỆT NAM,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/customer-service-garment-textile-footwear.35C59A67.html
123714 - Tiếng Nhật - Điều phối viên(Mới),"RGF HR Agent Vietnam Co., LTD",Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,4,https://careerviet.vn/vi/tim-viec-lam/123714-tieng-nhat-dieu-phoi-vien.35C59A56.html
Bác Sĩ YHCT(Mới),CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN DƯỠNG VIỆT NAM,Hà Nội Hồ Chí Minh,Lương: 15 Tr - 25 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/bac-si-yhct.35C599F2.html
Nhân Viên Tư Vấn Spa(Mới),CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN DƯỠNG VIỆT NAM,Hà Nội,Lương: Trên 20 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-tu-van-spa.35C599E5.html
R&D Executive (Food)(Mới),Công ty TNHH GS25 Vietnam,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/r-d-executive-food.35C59A66.html
Nhân viên kinh doanh telesale(Mới),Công ty CP Công nghệ giáo dục Trường học trực tuyến (ONSCHOOL),Hồ Chí Minh,Lương: 16 Tr - 36 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-telesale.35C59A65.html
Tư Vấn Giáo Dục(Mới),Công ty CP Công nghệ giáo dục Trường học trực tuyến (ONSCHOOL),Hồ Chí Minh,Lương: 16 Tr - 36 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/tu-van-giao-duc.35C59A63.html
